Department,Department Category,Organization,Position,Year,Salary,Real Salary (2013 dollars)
Accountancy,Business,MU,Professor,2009,147592,160251.9
Accountancy,Business,MU,Professor,2008,147592,159731.6
Accountancy,Business,MU,Professor,2007,141876,159411.24
Accountancy,Business,MU,Professor,2006,134907,155961.85
Accountancy,Business,MU,Professor,2005,127535,152189.74
Accountancy,Business,MU,Professor,2004,119656,147541.31
Accountancy,Business,MU,Professor,2003,122097,154553.16
Accountancy,Business,MU,Professor,2002,113152,146569.95
Accountancy,Business,MU,Professor,2001,112591,148146.05
Accountancy,Business,MU,Professor,2000,109440,148092.02
Accountancy,Business,MU,Professor,1999,104960,146797.2
Accountancy,Business,MU,Professor,1998,98032,140045.71
Accountancy,Business,MU,Professor,1997,91720,133120.46
Accountancy,Business,MU,Professor,1996,87684,130094.96
Accountancy,Business,MU,Professor,1995,84280,128868.5
Accountancy,Business,MU,Professor,1994,81368,127937.11
Accountancy,Business,MU,Professor,1993,78385,126427.42
Accountancy,Business,MU,Professor,1992,78450,130315.61
Accountancy,Business,MU,Professor,1991,76790,131264.96
Accountancy,Business,MU,Professor,1990,74660,133083.78
Anthropology,Social Science,MU,Professor,2009,88629,96231.27
Anthropology,Social Science,MU,Professor,2008,95084,102904.76
Anthropology,Social Science,MU,Professor,2007,95579,107392.13
Anthropology,Social Science,MU,Professor,2006,93964,108628.9
Anthropology,Social Science,MU,Professor,2005,90096,107513.13
Anthropology,Social Science,MU,Professor,2004,91553,112889.03
Anthropology,Social Science,MU,Professor,2003,88890,112518.99
Anthropology,Social Science,MU,Professor,2002,85967,111356.22
Anthropology,Social Science,MU,Professor,1998,73856,105508.57
Architecture & Interior Design,Fine Arts,MU,Professor,2009,93038,101018.46
Architecture & Interior Design,Fine Arts,MU,Professor,2008,93038,100690.48
Architecture & Interior Design,Fine Arts,MU,Professor,2007,89924,101038.2
Architecture & Interior Design,Fine Arts,MU,Professor,2006,81002,93643.93
Architecture & Interior Design,Fine Arts,MU,Professor,2005,82608,98577.57
Architecture & Interior Design,Fine Arts,MU,Professor,2004,82448,101662.15
Architecture & Interior Design,Fine Arts,MU,Professor,2003,79927,101173.42
Architecture & Interior Design,Fine Arts,MU,Professor,2002,77720,100673.58
Architecture & Interior Design,Fine Arts,MU,Professor,2001,74691,98277.63
Architecture & Interior Design,Fine Arts,MU,Professor,2000,77444,104795.67
Architecture & Interior Design,Fine Arts,MU,Professor,1999,73093,102227.97
Architecture & Interior Design,Fine Arts,MU,Professor,1998,74465,106378.57
Architecture & Interior Design,Fine Arts,MU,Professor,1997,63058,91521.04
Architecture & Interior Design,Fine Arts,MU,Professor,1996,61085,90630.56
Architecture & Interior Design,Fine Arts,MU,Professor,1995,57233,87512.23
Architecture & Interior Design,Fine Arts,MU,Professor,1994,55400,87106.92
Architecture & Interior Design,Fine Arts,MU,Professor,1993,55880,90129.03
Architecture & Interior Design,Fine Arts,MU,Professor,1992,54262,90136.21
Architecture & Interior Design,Fine Arts,MU,Professor,1991,53725,91837.61
Architecture & Interior Design,Fine Arts,MU,Professor,1990,54800,97682.71
Art,Fine Arts,MU,Professor,2009,86439,93853.42
Art,Fine Arts,MU,Professor,2008,87031,94189.39
Art,Fine Arts,MU,Professor,2007,84066,94456.18
Art,Fine Arts,MU,Professor,2006,81658,94402.31
Art,Fine Arts,MU,Professor,2005,73991,88294.75
Art,Fine Arts,MU,Professor,2004,71089,87655.98
Art,Fine Arts,MU,Professor,2003,72946,92336.71
Art,Fine Arts,MU,Professor,2002,70643,91506.48
Art,Fine Arts,MU,Professor,2001,68411,90014.47
Art,Fine Arts,MU,Professor,2000,66142,89502.03
Art,Fine Arts,MU,Professor,1999,67002,93709.09
Art,Fine Arts,MU,Professor,1998,65099,92998.57
Art,Fine Arts,MU,Professor,1997,61242,88885.34
Art,Fine Arts,MU,Professor,1996,58507,86805.64
Art,Fine Arts,MU,Professor,1995,54486,83311.93
Art,Fine Arts,MU,Professor,1994,52086,81896.23
Art,Fine Arts,MU,Professor,1993,50769,81885.48
Art,Fine Arts,MU,Professor,1992,52520,87242.52
Art,Fine Arts,MU,Professor,1991,50278,85945.3
Art,Fine Arts,MU,Professor,1990,49160,87629.23
Botany,Science and Math,MU,Professor,2009,87234,94716.61
Botany,Science and Math,MU,Professor,2008,87234,94409.09
Botany,Science and Math,MU,Professor,2007,85934,96555.06
Botany,Science and Math,MU,Professor,2006,83336,96342.2
Botany,Science and Math,MU,Professor,2005,80067,95545.35
Botany,Science and Math,MU,Professor,2004,77321,95340.32
Botany,Science and Math,MU,Professor,2003,76773,97181.01
Botany,Science and Math,MU,Professor,2002,80412,104160.62
Botany,Science and Math,MU,Professor,2001,77537,102022.37
Botany,Science and Math,MU,Professor,2000,76011,102856.56
Botany,Science and Math,MU,Professor,1999,70611,98756.64
Botany,Science and Math,MU,Professor,1998,70120,100171.43
Botany,Science and Math,MU,Professor,1997,67145,97452.83
Botany,Science and Math,MU,Professor,1996,66960,99347.18
Botany,Science and Math,MU,Professor,1995,64533,98674.31
Botany,Science and Math,MU,Professor,1994,63443,99753.14
Botany,Science and Math,MU,Professor,1993,61295,98862.9
Botany,Science and Math,MU,Professor,1992,59629,99051.5
Botany,Science and Math,MU,Professor,1991,60763,103868.38
Botany,Science and Math,MU,Professor,1990,58467,104219.25
Chemistry & Biochemistry,Science and Math,MU,Professor,2009,102906,111732.9
Chemistry & Biochemistry,Science and Math,MU,Professor,2008,103504,112017.32
Chemistry & Biochemistry,Science and Math,MU,Professor,2007,101762,114339.33
Chemistry & Biochemistry,Science and Math,MU,Professor,2006,97939,113224.28
Chemistry & Biochemistry,Science and Math,MU,Professor,2005,91987,109769.69
Chemistry & Biochemistry,Science and Math,MU,Professor,2004,89520,110382.24
Chemistry & Biochemistry,Science and Math,MU,Professor,2003,86157,109059.49
Chemistry & Biochemistry,Science and Math,MU,Professor,2002,90212,116854.92
Chemistry & Biochemistry,Science and Math,MU,Professor,2001,88540,116500
Chemistry & Biochemistry,Science and Math,MU,Professor,2000,85958,116316.64
Chemistry & Biochemistry,Science and Math,MU,Professor,1999,80288,112290.91
Chemistry & Biochemistry,Science and Math,MU,Professor,1998,75070,107242.86
Chemistry & Biochemistry,Science and Math,MU,Professor,1997,71653,103995.65
Chemistry & Biochemistry,Science and Math,MU,Professor,1996,71311,105802.67
Chemistry & Biochemistry,Science and Math,MU,Professor,1995,67692,103504.59
Chemistry & Biochemistry,Science and Math,MU,Professor,1994,63915,100495.28
Chemistry & Biochemistry,Science and Math,MU,Professor,1993,63634,102635.48
